 time (at Rp)  nbod    mass/mp
  0.39100E+09    36   0.54335E-04
  0.39200E+09    36   0.54832E-04
  0.39300E+09    36   0.54832E-04
  0.39400E+09    37   0.54927E-04
  0.39500E+09    36   0.54927E-04
  0.39600E+09    37   0.54960E-04
  0.39700E+09    37   0.54960E-04
  0.39800E+09    38   0.55116E-04
  0.39900E+09    39   0.55221E-04
  0.40000E+09    39   0.55221E-04
  0.40100E+09    38   0.55240E-04
  0.40200E+09    37   0.55240E-04
  0.40300E+09    38   0.55265E-04
  0.40400E+09    36   0.55265E-04
  0.40500E+09    37   0.55485E-04
  0.40600E+09    37   0.55485E-04
  0.40700E+09    38   0.56174E-04
  0.40800E+09    39   0.58054E-04
  0.40900E+09    38   0.58054E-04
  0.41000E+09    39   0.58181E-04
  0.41100E+09    39   0.58181E-04
  0.41200E+09    39   0.59004E-04
  0.41300E+09    38   0.59004E-04
  0.41400E+09    39   0.59252E-04
  0.41500E+09    39   0.59252E-04
  0.41600E+09    40   0.59295E-04
  0.41700E+09    39   0.59577E-04
  0.41800E+09    39   0.59577E-04
  0.41900E+09    39   0.59600E-04
  0.42000E+09    38   0.59600E-04
  0.42100E+09    39   0.60027E-04
  0.42200E+09    39   0.60027E-04
  0.42300E+09    40   0.60524E-04
  0.42400E+09    41   0.60573E-04
  0.42500E+09    40   0.60573E-04
  0.42600E+09    38   0.60604E-04
  0.42700E+09    38   0.60604E-04
  0.42800E+09    38   0.60650E-04
  0.42900E+09    37   0.60650E-04
  0.43000E+09    38   0.60846E-04
  0.43100E+09    37   0.60846E-04
  0.43200E+09    37   0.60641E-04
  0.43300E+09    38   0.60684E-04
  0.43400E+09    38   0.60684E-04
  0.43500E+09    38   0.60724E-04
  0.43600E+09    38   0.60724E-04
  0.43700E+09    39   0.60919E-04
  0.43800E+09    38   0.60919E-04
  0.43900E+09    38   0.61006E-04
  0.44000E+09    39   0.61026E-04
  0.44100E+09    39   0.61026E-04
  0.44200E+09    40   0.61715E-04
  0.44300E+09    40   0.61715E-04
  0.44400E+09    41   0.61761E-04
  0.44500E+09    40   0.61761E-04
  0.44600E+09    40   0.61956E-04
  0.44700E+09    40   0.61956E-04
  0.44800E+09    41   0.63167E-04
  0.44900E+09    42   0.63294E-04
  0.45000E+09    41   0.63294E-04
  0.45100E+09    41   0.58819E-04
  0.45200E+09    40   0.58819E-04
  0.45300E+09    41   0.59642E-04
  0.45400E+09    40   0.59642E-04
  0.45500E+09    40   0.59746E-04
