 time (at Rp)  nbod    mass/mp
  0.26500E+09    51   0.69192E-04
  0.26600E+09    51   0.69227E-04
  0.26700E+09    52   0.69258E-04
  0.26800E+09    52   0.69258E-04
  0.26900E+09    51   0.69293E-04
  0.27000E+09    50   0.69318E-04
  0.27100E+09    49   0.69318E-04
  0.27200E+09    47   0.69433E-04
  0.27300E+09    48   0.69454E-04
  0.27400E+09    47   0.69454E-04
  0.27500E+09    48   0.69521E-04
  0.27600E+09    49   0.69579E-04
  0.27700E+09    50   0.69614E-04
  0.27800E+09    49   0.69614E-04
  0.27900E+09    49   0.70436E-04
  0.28000E+09    49   0.70718E-04
  0.28100E+09    49   0.70718E-04
  0.28200E+09    50   0.70845E-04
  0.28300E+09    50   0.70873E-04
  0.28400E+09    50   0.70873E-04
  0.28500E+09    51   0.70901E-04
  0.28600E+09    51   0.70932E-04
  0.28700E+09    51   0.70932E-04
  0.28800E+09    50   0.70999E-04
  0.28900E+09    49   0.70999E-04
  0.29000E+09    48   0.71019E-04
  0.29100E+09    49   0.72898E-04
  0.29200E+09    49   0.72898E-04
  0.29300E+09    50   0.72986E-04
  0.29400E+09    51   0.73028E-04
  0.29500E+09    51   0.73028E-04
  0.29600E+09    52   0.73061E-04
  0.29700E+09    52   0.73061E-04
  0.29800E+09    53   0.74559E-04
  0.29900E+09    52   0.74715E-04
  0.30000E+09    52   0.74715E-04
  0.30100E+09    53   0.75142E-04
  0.30200E+09    52   0.75965E-04
  0.30300E+09    52   0.75965E-04
  0.30400E+09    53   0.76287E-04
  0.30500E+09    53   0.76287E-04
  0.30600E+09    54   0.76317E-04
  0.30700E+09    54   0.76474E-04
  0.30800E+09    53   0.76474E-04
  0.30900E+09    53   0.76498E-04
  0.31000E+09    53   0.76498E-04
  0.31100E+09    53   0.76820E-04
  0.31200E+09    53   0.76994E-04
  0.31300E+09    53   0.76994E-04
  0.31400E+09    54   0.77025E-04
  0.31500E+09    55   0.77060E-04
  0.31600E+09    54   0.77060E-04
  0.31700E+09    54   0.76865E-04
  0.31800E+09    53   0.76865E-04
